ds,y
V334,2770.2
V335,2769.7
V336,2768.2
V337,2775.7
V338,2779.9
V339,2769.1
V340,2775.3
V341,2780.0
V342,2776.1
V343,2770.9
V344,2769.4
V345,2758.5
V346,2758.1
V347,2771.0
V348,2766.0
V349,2755.9
V350,2759.0
V351,2755.0
V352,2764.0
V353,2760.5
V354,2770.1
V355,2773.9
V356,2773.8
V357,2775.9
V358,2787.1
V359,2794.6
V360,2787.4
V361,2786.0
V362,2782.2
V363,2793.7
V364,2785.4
V365,2783.9
V366,2781.1
V367,2796.9
V368,2791.1
V369,2792.4
V370,2795.4
V371,2787.4
V372,2778.4
V373,2770.4
V374,2772.1
V375,2777.0
V376,2775.1
V377,2773.4
V378,2759.6
V379,2765.7
V380,2761.1
V381,2750.6
V382,2748.1
V383,2755.3
V384,2757.9
V385,2735.3
V386,2742.4
V387,2728.8
V388,2728.5
V389,2734.5
V390,2721.2
V391,2728.7
V392,2711.4
V393,2686.9
V394,2684.8
V395,2689.8
V396,2695.5
V397,2681.9
V398,2680.8
V399,2678.5
V400,2660.7
V401,2666.8
V402,2657.6
V403,2636.7
V404,2643.9
V405,2650.4
V406,2657.8
V407,2678.2
V408,2674.9
V409,2676.1
V410,2669.2
V411,2663.1
V412,2666.4
V413,2664.0
V414,2667.7
V415,2671.0
V416,2670.2
V417,2663.0
V418,2649.5
V419,2639.5
V420,2640.8
V421,2624.6
V422,2615.0
V423,2616.8
V424,2603.9
V425,2602.5
V426,2605.2
V427,2622.9
V428,2642.5
V429,2651.9
V430,2637.3
V431,2635.0
V432,2636.8
V433,2667.5
V434,2652.7
V435,2657.6
V436,2646.5
V437,2651.8
V438,2650.8
V439,2648.8
V440,2663.6
V441,2695.7
V442,2684.9
V443,2679.5
V444,2696.5
V445,2694.1
V446,2697.0
V447,2697.4
V448,2702.6
V449,2713.8
V450,2718.2
V451,2736.0
V452,2718.0
V453,2719.3
V454,2713.7
V455,2714.0
V456,2714.7
V457,2715.2
V458,2721.4
V459,2726.9
V460,2733.6
V461,2726.6
V462,2716.9
V463,2699.9
V464,2690.7
V465,2689.8
V466,2674.1
V467,2689.8
V468,2690.3
V469,2696.0
V470,2686.3
V471,2685.3
V472,2698.4
V473,2687.7
V474,2685.6
V475,2678.6
V476,2678.0
V477,2690.2
V478,2687.1
V479,2688.8
V480,2673.0
V481,2670.3
V482,2667.8
V483,2666.1
V484,2655.3
V485,2678.5
V486,2693.0
V487,2693.9
V488,2704.8
V489,2706.6
V490,2715.9
V491,2746.6
V492,2746.9
V493,2749.3
V494,2731.0
V495,2742.7
V496,2748.8
V497,2731.1
V498,2725.9
V499,2718.8
V500,2740.2
V501,2727.0
V502,2744.5
V503,2736.5
V504,2737.7
V505,2733.0
V506,2730.2
V507,2733.2
V508,2734.4
V509,2723.1
V510,2709.5
V511,2722.5
V512,2719.4
V513,2730.7
V514,2734.2
V515,2731.3
V516,2749.5
V517,2752.4
V518,2752.8
V519,2735.4
V520,2727.4
V521,2757.7
V522,2752.7
V523,2778.2
V524,2784.4
V525,2777.1
V526,2786.7
V527,2801.7
V528,2792.2
V529,2782.3
V530,2773.5
V531,2780.6
V532,2762.8
V533,2771.2
V534,2775.6
V535,2784.7
V536,2771.5
V537,2781.3
V538,2794.6
V539,2849.7
V540,2833.2
V541,2835.7
V542,2845.0
V543,2865.1
V544,2853.7
V545,2858.8
V546,2836.3
V547,2834.5
V548,2845.2
V549,2878.4
V550,2905.5
V551,2913.0
V552,2936.3
V553,2937.8
V554,2956.9
V555,2950.2
V556,2919.0
V557,2907.0
V558,2911.6
V559,2902.9
V560,2906.5
V561,2890.0
V562,2896.2
V563,2907.2
V564,2916.7
V565,2944.7
V566,2931.8
V567,2918.8
V568,2933.1
V569,2920.2
V570,2909.6
V571,2892.6
V572,2879.3
V573,2880.4
V574,2884.8
V575,2903.0
V576,2943.0
V577,2944.7
V578,2962.1
V579,2979.0
V580,3004.5
V581,3072.0
V582,3020.5
V583,3008.1
V584,2996.8
V585,3035.7
V586,3023.7
V587,3045.4
V588,3048.4
V589,3055.7
V590,3104.0
V591,3100.5
V592,3091.6
V593,3087.1
V594,3090.5
V595,3083.2
V596,3061.0
V597,3058.7
V598,3041.5
V599,3056.0
V600,3092.6
V601,3067.3
V602,3091.6
V603,3054.8
V604,3056.0
V605,3035.9
V606,3062.9
V607,3082.4
V608,3047.5
V609,3308.2
V610,3305.8
V611,3269.1
V612,3234.4
V613,3290.3
V614,3299.1
V615,3290.0
V616,3312.7
V617,3338.1
V618,3280.1
V619,3223.6
V620,3212.9
V621,3223.3
V622,3232.2
V623,3246.1
V624,3224.6
V625,3224.0
V626,3204.5
V627,3201.6
V628,3197.9
V629,3179.8
V630,3175.6
V631,3190.7
V632,3205.4
V633,3238.1
V634,3235.7
V635,3236.8
V636,3253.5
V637,3239.1
V638,3224.8
V639,3247.4
V640,3265.1
V641,3302.1
V642,3324.9
V643,3416.3
V644,3396.4
V645,3410.2
V646,3438.4
V647,3430.1
V648,3440.7
V649,3453.5
V650,3451.6
V651,3424.2
V652,3424.9
V653,3456.5
V654,3452.9
V655,3460.7
V656,3435.4
V657,3451.3
V658,3492.8
V659,3488.6
V660,3500.1
V661,3472.7
V662,3451.4
V663,3412.1
V664,3412.9
V665,3399.4
V666,3378.2
V667,3401.4
V668,3387.7
V669,3424.7
V670,3452.1
V671,3476.0
V672,3409.4
V673,3385.9
V674,3347.4
V675,3354.1
V676,3379.6
V677,3349.7
V678,3384.1
V679,3413.7
V680,3422.1
V681,3427.2
V682,3442.6
V683,3423.1
V684,3416.9
V685,3410.0
V686,3365.8
V687,3357.8
V688,3341.2
V689,3339.6
V690,3339.8
V691,3330.2
V692,3356.3
V693,3353.3
V694,3336.6
V695,3328.9
V696,3312.3
V697,3265.5
V698,3278.6
V699,3290.6
V700,3265.4
V701,3261.3
V702,3315.6
V703,3278.2
V704,3280.5
V705,3288.5
V706,3272.3
V707,3259.0
V708,3294.6
V709,3268.1
V710,3272.2
V711,3255.6
V712,3284.7
V713,3309.3
V714,3307.4
V715,3321.7
V716,3321.4
V717,3325.1
V718,3363.1
V719,3294.9
V720,3288.8
V721,3314.7
V722,3322.1
V723,3276.1
V724,3288.2
V725,3284.9
V726,3272.7
V727,3278.8
V728,3249.1
V729,3262.3
V730,3281.5
V731,3302.2
V732,3320.2
V733,3299.2
V734,3310.9
V735,3301.9
V736,3354.3
V737,3336.9
V738,3372.9
V739,3414.2
V740,3436.8
V741,3444.6
V742,3522.7
V743,3521.1
V744,3499.8
V745,3486.2
V746,3499.1
V747,3526.6
V748,3518.3
V749,3502.2
V750,3496.3
V751,3484.6
V752,3474.3
V753,3450.1
V754,3412.2
V755,3423.8
V756,3405.7
V757,3458.6
V758,3439.3
V759,3428.0
V760,3463.6
V761,3443.8
V762,3492.7
V763,3537.5
V764,3580.1
V765,3593.3
V766,3610.4
V767,3571.3
V768,3577.3
V769,3580.3
V770,3569.0
V771,3572.6
V772,3540.8
V773,3558.5
V774,3564.7
V775,3568.1
V776,3515.3
V777,3501.6
V778,3441.9
V779,3455.7
V780,3477.8
V781,3497.7
V782,3551.1
V783,3529.1
V784,3477.3
V785,3495.5
V786,3441.5
V787,3434.1
V788,3460.6
V789,3441.4
V790,3437.8
V791,3437.3
V792,3463.6
V793,3487.0
V794,3464.9
V795,3459.4
V796,3446.5
V797,3439.2
V798,3424.1
V799,3396.0
V800,3381.0
V801,3415.0
V802,3382.2
V803,3384.8
V804,3388.2
V805,3407.3
V806,3400.8
V807,3442.3
V808,3430.9
V809,3409.7
V810,3420.5
V811,3418.4
V812,3414.7
V813,3402.3
V814,3383.6
V815,3372.9
V816,3401.1
V817,3413.9
V818,3408.9
V819,3407.5
V820,3390.5
V821,3377.3
V822,3369.8
V823,3367.8
V824,3376.2
V825,3419.3
V826,3433.1
V827,3472.3
V828,3446.3
V829,3432.0
V830,3430.1
V831,3424.2
V832,3421.0
V833,3406.4
V834,3369.0
V835,3353.7
V836,3340.3
V837,3366.0
V838,3347.8
V839,3345.0
V840,3326.4
V841,3315.1
V842,3298.6
V843,3309.5
V844,3314.9
V845,3299.5
V846,3266.3
V847,3234.6
V848,3247.8
V849,3256.5
V850,3251.9
V851,3231.6
V852,3271.8
V853,3250.0
V854,3243.5
V855,3256.8
V856,3270.5
V857,3250.6
V858,3220.1
V859,3195.3
V860,3202.4
V861,3226.1
V862,3275.9
V863,3334.5
V864,3304.3
V865,3287.9
V866,3311.9
V867,3278.0
V868,3262.6
V869,3292.7
V870,3315.0
V871,3298.5
V872,3329.3
V873,3369.9
V874,3433.5
V875,3429.3
V876,3387.6
V877,3378.1
V878,3324.6
V879,3351.2
V880,3320.3
V881,3293.4
V882,3296.2
V883,3281.7
V884,3312.0
V885,3342.3
V886,3288.4
V887,3293.6
V888,3264.6
V889,3241.9
V890,3283.6
V891,3256.7
V892,3263.0
V893,3261.5
V894,3224.2
V895,3201.0
V896,3203.6
V897,3209.4
V898,3159.3
V899,3136.6
V900,3113.9
V901,3127.0
V902,3134.3
V903,3146.6
V904,3149.9
V905,3126.5
V906,3102.5
V907,3088.2
V908,3080.5
V909,3079.2
V910,3095.6
V911,3085.9
V912,3052.4
V913,3094.4
V914,3106.9
V915,3193.4
V916,3157.6
V917,3236.4
V918,3233.5
V919,3305.4
V920,3262.0
V921,3273.7
V922,3296.2
V923,3335.0
V924,3310.9
V925,3310.1
V926,3338.8
V927,3348.5
V928,3345.8
V929,3268.3
V930,3188.6
V931,3114.1
V932,3098.2
V933,3097.9
V934,3047.1
V935,3045.7
V936,3055.8
V937,3038.9
V938,3029.8
V939,3024.4
V940,3057.0
V941,3081.4
V942,3070.8
V943,3103.3
V944,3075.2
V945,3090.2
V946,3068.9
V947,3043.6
V948,2981.9
V949,3019.6
V950,2993.6
V951,3028.5
V952,3022.0
V953,3020.2
V954,2989.5
V955,3002.7
V956,2940.0
V957,2865.7
V958,2913.3
V959,2926.4
V960,2905.8
V961,2891.3
V962,2898.5
V963,2845.6
V964,2837.6
V965,2868.1
V966,2905.0
V967,2919.2
V968,2881.4
V969,2946.9
V970,2912.9
V971,2892.5
V972,2887.4
V973,2873.4
V974,2888.7
V975,2918.1
V976,2929.5
V977,2917.2
V978,2941.5
V979,2952.0
V980,2975.3
V981,2992.1
V982,2998.6
V983,2983.7
V984,2963.6
V985,2970.5
V986,3005.4
V987,3010.0
V988,3065.3
V989,3082.1
V990,3048.6
V991,3042.7
V992,3053.7
V993,3074.9
V994,3042.4
V995,3034.0
V996,3023.8
V997,3019.6
V998,3033.7
V999,3040.2
V1000,3035.3
V1001,3005.2
V1002,2963.9
V1003,2978.0
V1004,2991.9
V1005,2995.3
V1006,3000.5
V1007,2968.5
